"Data";"Descrição";"Valor";"Conta";"Categoria"
"20/03/2024";"AMAZON BR";"32.99";"AZUL ITAU VISA PLAT";"Livre"
"22/03/2024";"MP*HUMBERTOUBER";"16.50";"AZUL ITAU VISA PLAT";"Viagem"
"22/03/2024";"LOCALIZA RAC MTZAL0";"500.00";"AZUL ITAU VISA PLAT";"Outros"
"22/03/2024";"LOCALIZA RAC MTZ";"613.03";"AZUL ITAU VISA PLAT";"Outros"
"22/03/2024";"PAG*TRIPFARMAPOPULAR";"89.39";"AZUL ITAU VISA PLAT";"Saude"
"22/03/2024";"IRMAOS GONCALVES";"257.70";"AZUL ITAU VISA PLAT";"Outros"
"22/03/2024";"PAG*TRIPFARMAPOPULAR";"34.95";"AZUL ITAU VISA PLAT";"Saude"
"23/03/2024";"SUPERMERCADO CEREJEIRA";"18.96";"AZUL ITAU VISA PLAT";"Supermercado"
"23/03/2024";"KINEM MERCADO";"88.33";"AZUL ITAU VISA PLAT";"Outros"
"23/03/2024";"KINEM MERCADO";"25.90";"AZUL ITAU VISA PLAT";"Outros"
"24/03/2024";"HAVAN JIPARANA";"106.93";"AZUL ITAU VISA PLAT";"Outros"
"24/03/2024";"HAVAN JIPARANA";"56.98";"AZUL ITAU VISA PLAT";"Outros"
"24/03/2024";"PAG*ANGUSHAMBURGUERIA";"100.98";"AZUL ITAU VISA PLAT";"Outros"
"24/03/2024";"PAG*ANGUSHAMBURGUERIA";"8.00";"AZUL ITAU VISA PLAT";"Outros"
"25/03/2024";"POSTO MAIS LTDA";"121.24";"AZUL ITAU VISA PLAT";"Transporte"
"25/03/2024";"PG *TON DIOGO SOUZA";"12.00";"AZUL ITAU VISA PLAT";"Outros"
"27/03/2024";"ATACADAO 201 SA";"111.87";"AZUL ITAU VISA PLAT";"Outros"
"28/03/2024";"AMAZON BR";"25.90";"AZUL ITAU VISA PLAT";"Livre"
"28/03/2024";"ULTRA POPULAR JIPA01";"102.92";"AZUL ITAU VISA PLAT";"Outros"
"31/03/2024";"PAG*CHILLIBEANS";"15.00";"AZUL ITAU VISA PLAT";"Outros"
"31/03/2024";"FEL EMPREENDIMENT";"12.50";"AZUL ITAU VISA PLAT";"Outros"
"31/03/2024";"PQUATRO COMERCIO DE PR";"28.00";"AZUL ITAU VISA PLAT";"Outros"
"31/03/2024";"PAG*CENTERPARKCONFINS";"270.00";"AZUL ITAU VISA PLAT";"Outros"
"01/04/2024";"SUPERMERCADO ROTOR";"248.04";"AZUL ITAU VISA PLAT";"Supermercado"
"01/04/2024";"SUPERMERCADO ROTOR";"8.94";"AZUL ITAU VISA PLAT";"Supermercado"
"01/04/2024";"SUP EPA CENTO E V";"60.00";"AZUL ITAU VISA PLAT";"Supermercado"
"01/04/2024";"PANDORO";"23.22";"AZUL ITAU VISA PLAT";"Alimentacao"
"01/04/2024";"SUP EPA CENTO E VINTE E";"23.00";"AZUL ITAU VISA PLAT";"Supermercado"
"02/04/2024";"SUPERMERCADO ROTOR";"42.63";"AZUL ITAU VISA PLAT";"Supermercado"
"03/04/2024";"AMAZON BR";"99.90";"AZUL ITAU VISA PLAT";"Livre"
"03/04/2024";"SUP EPA CENTO E V";"267.00";"AZUL ITAU VISA PLAT";"Supermercado"
"05/04/2024";"SUPERMERCADO COMAX";"37.00";"AZUL ITAU VISA PLAT";"Supermercado"
"06/04/2024";"POSTO DA ESTRADA REAL";"235.79";"AZUL ITAU VISA PLAT";"Transporte"
"06/04/2024";"SUPERMERCADO COMAX";"25.06";"AZUL ITAU VISA PLAT";"Supermercado"
"06/04/2024";"SUP EPA CENTO E V";"71.00";"AZUL ITAU VISA PLAT";"Supermercado"
"06/04/2024";"SUPERMERCADO LIDER";"56.77";"AZUL ITAU VISA PLAT";"Supermercado"
"07/04/2024";"PAG*52381561RENATO";"7.50";"AZUL ITAU VISA PLAT";"Outros"
"07/04/2024";"SUP EPA CENTO E CINQUEN";"189.55";"AZUL ITAU VISA PLAT";"Supermercado"
